,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
1,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3
2,3,3,3,3,3,3,3,3,3,2,3,3,5,3,3
3,3,3,3,3,3,3,3,3,3,2,2,4,3,3,3
4,4,4,3,4,3,3,4,3,3,2,3,4,4,4,4
5,5,4,5,5,4,4,5,4,5,4,4,5,5,4,5
6,1,3,4,2,2,2,4,2,4,2,3,3,2,2,2
7,3,2,3,4,3,3,2,2,3,2,1,5,3,4,3
8,2,2,2,2,4,3,2,2,1,2,1,3,1,2,2
9,3,3,3,3,4,5,3,3,3,3,3,4,3,4,3
10,5,4,5,5,4,3,4,4,5,3,4,5,4,4,5
11,4,3,3,3,5,3,3,3,3,3,3,3,4,3,3
12,2,2,2,2,4,2,3,2,2,2,2,2,4,2,2
13,3,3,5,5,3,3,3,5,4,3,3,4,5,3,4
14,3,3,3,3,3,3,3,3,3,2,3,3,4,3,3
15,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2
16,4,1,1,1,2,2,1,1,3,2,1,2,2,2,2
17,3,2,1,2,2,2,2,2,2,1,1,2,5,2,2
18,3,3,3,3,3,5,4,5,3,4,4,3,3,4,3
19,3,4,3,3,3,3,4,3,3,2,5,3,3,2,3
20,4,3,4,4,3,3,3,3,2,2,2,5,3,4,5
21,3,1,3,3,3,4,2,5,1,5,1,2,3,4,3
22,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
23,2,4,4,2,3,1,5,2,3,2,3,3,3,2,3
24,4,2,2,2,3,2,2,2,2,2,2,2,3,3,3
25,3,3,3,4,3,3,3,2,5,2,2,5,3,4,3
26,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
27,5,3,3,3,4,3,3,3,3,3,3,3,5,3,3
28,3,3,3,1,3,4,5,3,2,4,4,2,3,3,3
29,4,2,3,3,3,4,3,4,5,5,3,3,3,3,2
30,4,3,3,3,3,3,3,3,3,2,3,3,3,3,3
31,2,2,4,3,3,2,2,3,1,2,2,3,2,2,3
32,5,3,3,3,4,3,3,3,4,3,3,3,5,3,3
33,2,3,4,2,3,3,4,3,2,3,5,3,2,2,3
34,5,3,2,3,5,4,3,2,3,2,2,4,5,4,3
35,3,4,3,4,3,3,3,2,5,2,4,4,3,3,3
36,5,4,3,4,4,4,4,3,4,3,3,5,5,5,4
37,5,3,3,4,3,3,3,3,5,3,3,4,3,3,3
38,3,3,3,3,3,2,3,3,3,2,2,3,5,2,3
39,4,3,3,4,5,3,3,3,5,3,3,3,5,3,1
40,5,2,1,3,3,3,2,1,3,2,1,3,3,4,2
41,5,3,3,3,5,4,3,3,3,3,3,4,3,4,3
